"","Year","Kings","Queens","New_York","Richmond"
"1",1996,NA,NA,"276.4286","106.4444"
"2",1997,NA,NA,"322.8333","106.2500"
"3",1998,NA,NA,"358.4167","111.7500"
"4",1999,NA,NA,"390.50","119.75"
"5",2000,NA,NA,"486.0833","138.4167"
"6",2001,NA,NA,"553.6667","157.3333"
"7",2002,NA,NA,"512.75","176.25"
"8",2003,"238.0000","236.5000","528.8333","199.7500"
"9",2004,"291.9167","272.0833","707.7500","226.0833"
"10",2005,"307.2500","305.0833","881.5833","260.7500"
"11",2006," 358.7500"," 365.4167","1015.4167"," 286.1667"
"12",2007," 369.7500"," 371.4167","1076.7500"," 288.0000"
"13",2008," 371.9167"," 356.5833","1145.1667"," 273.6667"
"14",2009," 358.6667"," 332.9167","1049.0000"," 264.8333"
"15",2010,"368.6667","335.5833","992.3333","253.7500"
"16",2011," 368.9167"," 319.5000","1027.5833"," 246.3333"
"17",2012," 369.6923"," 316.7692","1060.9231"," 242.3077"
"18",2013," 393.1667"," 327.0833","1148.0833"," 245.8333"
"19",2014," 420.3333"," 351.0833","1277.9167"," 255.6667"
"20",2015," 461.5000"," 367.5833","1346.4167"," 264.9167"
"21",2016," 503.2500"," 406.4167","1454.5000"," 282.6667"
"22",2017," 538.8"," 438.4","1468.2"," 305.6"
